,company,name,color,type,ratings,people_review,offer_price,real_price,offer
44,Aroma,NB119Pro Belief 48 Hours Playing Time Fast Chargi...,Blue, In the Ear,4,"65,327",₹395,"₹1,999",80% off
45,Aroma,NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,Black, In the Ear,4,"1,62,560",₹499,"₹2,499",80% off
46,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",White, In the Ear,4.2,"14,276","₹1,299","₹4,999",74% off
47,OnePlus,"Bullets Wireless Z2 with Fast Charge, 30 Hrs Ba...",Magico Black, In the Ear,4.2,"5,06,991","₹1,799","₹2,299",21% off
48,boAt,Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and up...,Navy Blue, In the Ear,4.2,"6,24,229","₹1,199","₹3,990",69% off
49,MASOORI,M19 / M10 / T2 TWS Bluetooth 5.0 Wireless Touch...,Black, True Wireless,3.6,547,₹499,"₹1,299",61% off
50,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4.1,"1,11,172",₹999,"₹5,499",81% off
51,Dozokil,High M10 Pro TWS Bluetooth Earbuds Wireless Ear...,Black, True Wireless,3.7,365,₹488,"₹2,499",80% off
52,boAt,Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,Active Black Matte Indi, True Wireless,4,"13,45,614",₹899,"₹2,990",69% off
53,boAt,"Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...",Active Black  Dark Grey, In the Ear,3.9,"1,12,074","₹1,299","₹2,990",56% off
54,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.2,"14,276","₹1,299","₹4,999",74% off
55,Noise,"Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",Jet Black, True Wireless,4.1,"2,52,983","₹1,299","₹2,999",56% off
56,Noise,"Buds VS404 with 50 Hours Playtime, ENC with Quad ...",Jet Black, True Wireless,4.1,"3,969","₹1,499","₹3,499",57% off
57,Portronics,SoundDrum 1 10 W Bluetooth Speaker,Black, Mono Channel,4.3,"41,689","₹1,099","₹2,499",56% off
58,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Red, True Wireless,3.8,"47,151","₹1,099","₹7,999",86% off
59,Aroma,NB119Pro Belief 48 Hours Playing Time Fast Chargi...,Black  Silver, In the Ear,4,"65,327",₹395,"₹1,999",80% off
60,Aroma,NB119D Dream 60 Hours Playing Time Fast Charging ...,Black  Silver, In the Ear,4.1,"52,942",₹431,"₹2,499",82% off
61,Lichen,B11 Neckband Bluetooth Headset Earphone Sports R...,Blue, In the Ear,3.8,309,₹299,"₹1,599",81% off
62,boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",Pebble Black, True Wireless,4.1,"3,27,645","₹1,099","₹2,490",55% off
63,ORAIMO,Shark 3 Deep Bass Neckband Bluetooth Headset,Black, In the Ear,4.1,"17,364",₹499,"₹2,499",80% off
64,Aroma,NB119B Badshah 60 Hours Playing Time Fast Chargin...,Green, In the Ear,4,"2,40,115",₹419,"₹2,499",83% off
65,realme,Buds Wireless 2 Neo with Type-C Fast Charge & Ba...,Blue, In the Ear,4.2,"2,86,234","₹1,299","₹2,499",48% off
66,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless headphone...,Red, In the Ear,3.9,"1,88,519",₹449,"₹3,850",88% off
67,realme,Buds Wireless 2 Neo with Type-C Fast Charge & Ba...,Black, In the Ear,4.2,"2,86,234","₹1,299","₹2,499",48% off
68,Fire-Boltt,Fire Pods Ninja G201 Earbuds TWS IWP HD Call...,Black, True Wireless,4.1,"15,839",₹799,"₹3,999",80% off
69,OPPO,Enco Buds 2 with 28 hours Battery life & Deep Nois...,Midnight, True Wireless,4.2,"81,506","₹1,799","₹3,999",55% off
70,PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",Black, True Wireless,3.7,"6,379",₹799,"₹2,599",69% off
71,Chitransh,i12 Bluetooth Headset,White, True Wireless,3.9,193,₹439,₹999,56% off
72,Seashot,M19 Earbuds/TWS/buds 5.1 Earbuds with 280H Play...,Black, True Wireless,3.6,"5,154",₹639,"₹2,999",78% off
73,divinestar,MUisc dj Advance Design New Arrival TG-162 P...,Blue, 4.1 Channel,3.9,121,₹546,"₹1,999",72% off
74,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,White, True Wireless,3.7,"8,896",₹445,"₹2,999",85% off
75,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless Bluetooth...,Green, In the Ear,3.9,"1,88,519",₹999,"₹1,990",49% off
76,boAt,Rockerz 235 Pro with upto 20 Hours Playback & ASAP...,Furious Blue, In the Ear,4.2,"1,24,994",₹299,"₹1,999",85% off
77,U&i,Trendy 24Hrs Battery Backup Bluetooth Neckband with...,Yellow, In the Ear,4.2,20,₹445,"₹3,850",88% off
78,Aloof,F9 Bluetooth Headset,Black, True Wireless,3.6,211,₹529,"₹1,999",73% off
79,divinestar,MUSIC DJ Advance Design TG-162 Party Light W...,Black, 4.1 Channel,3.6,22,"₹1,799","₹2,299",21% off
80,OnePlus,Bullets Wireless Z2 Bluetooth Headset,Acoustic Red, In the Ear,4.2,"5,06,991","₹1,299","₹4,999",74% off
81,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",White, In the Ear,4.2,"14,276",₹431,"₹2,499",82% off
82,Aroma,NB119D Dream 60 Hours Playing Time Fast Charging ...,Green, In the Ear,4.1,"52,942",₹285,₹999,71% off
83,KRAZZY,INDIA R3 Bluetooth Headset,Black  Yellow, In the Ear,3.4,"1,263",₹419,"₹2,499",83% off
84,Aroma,NB119B Badshah 60 Hours Playing Time Fast Chargin...,Black  Silver, In the Ear,4,"2,40,115",₹799,"₹4,499",82% off
85,Boult,"Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",Blue, In the Ear,4,"49,704",₹419,"₹2,499",83% off
86,Aroma,NB119B Badshah 60 Hours Playing Time Fast Chargin...,Red, In the Ear,4,"2,40,115",₹449,"₹3,850",88% off
87,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless headphone...,Red, In the Ear,3.9,"1,88,519",₹485,"₹1,999",75% off
88,TECHFIRE,Platinum Series Neckband - Low Price Bluetooth...,Blue, In the Ear,3.9,"28,990",₹999,"₹5,499",81% off
89,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4.1,"1,11,172","₹1,399","₹3,999",65% off
90,Mivi,"DuoPods K5 TWS Earbuds Metallic Finish, HD calling...",Raven Black, True Wireless,4.2,308,₹529,"₹4,999",89% off
91,Earboss,"AIRYPOD TWS EARBUDS, Bass+ 20 H Playtime & Fast...",Black, True Wireless,3.4,14,₹799,"₹2,599",69% off
92,PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",Blue, True Wireless,3.7,"6,379",₹546,"₹1,999",72% off
93,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,3.6,"6,182",₹490,"₹5,999",91% off
94,GREE,MATT Tws Wireless Bluetooth Headset With Power Ban...,Black, True Wireless,3.9,814,₹799,"₹2,599",69% off
95,PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",Black, True Wireless,3.7,"6,379","₹1,099","₹7,999",86% off
96,divinestar,Advance Design TG-162 Party Light With High ...,Black, 4.1 Channel,3.9,121,"₹1,199","₹3,990",69% off
